N_unmapped	68605	68605	68605
N_multimapping	1934840	1934840	1934840
N_noFeature	2025784	14225250	14551852
N_ambiguous	2128213	641785	556023
DDX11L1	0	0	0
WASH7P	0	0	0
MIR6859-1	0	0	0
MIR1302-2HG	0	0	0
MIR1302-2	0	0	0
FAM138A	0	0	0
OR4G4P	0	0	0
OR4G11P	0	0	0
OR4F5	0	0	0
AL627309.1	0	0	0
AL627309.3	0	0	0
CICP27	0	0	0
AL627309.6	1	1	0
AL627309.7	0	0	0
AL627309.2	0	0	0
AL627309.5	0	0	0
RNU6-1100P	0	0	0
AL627309.4	0	0	0
FO538757.2	0	0	0
FO538757.1	11	4	7
MIR6859-2	0	0	0
AP006222.1	0	0	0
RPL23AP24	0	0	0
AL732372.1	0	0	0
AL732372.2	5	5	0
WBP1LP7	0	0	0
OR4F29	0	0	0
CICP7	0	0	0
AL732372.3	0	0	0
RF00026	0	0	0
AL669831.3	0	1	9
AC114498.1	0	0	0
MTND1P23	0	0	0
MTND2P28	107	82	25
MTCO1P12	5	1	10
MIR6723	0	5	0
MTCO2P12	5	4	1
MTATP8P1	0	0	0
MTATP6P1	1270	697	573
MTCO3P12	1	1	0
WBP1LP6	0	0	0
OR4F16	0	0	0
CICP3	0	0	0
AL669831.1	12	12	0
RNU6-1199P	0	0	0
AL669831.2	0	0	0
AL669831.5	14	7	7
AL669831.7	0	0	0
AL669831.4	25	15	21
FAM87B	28	14	31
LINC01128	206	121	114
LINC00115	53	50	29
FAM41C	0	0	0
TUBB8P11	0	0	0
AL669831.6	0	0	0
AL645608.6	0	0	0
AL645608.2	0	0	0
AL645608.4	0	0	0
LINC02593	0	0	0
SAMD11	1	120	93
NOC2L	1737	981	968
KLHL17	20	13	7
PLEKHN1	33	18	25
PERM1	3	10	3
AL645608.7	0	0	0
HES4	48	27	21
ISG15	9131	4998	4133
AL645608.3	0	0	0
AL645608.1	0	0	0
AGRN	1	0	2
AL645608.5	0	0	0
AL390719.1	251	132	170
AL645608.8	1	27	24
RNF223	0	0	0
C1orf159	140	63	77
AL390719.3	8	4	4
LINC01342	0	0	0
MIR200B	0	0	0
MIR200A	0	0	0
MIR429	0	0	0
AL390719.2	0	0	0
TTLL10-AS1	0	0	0
TTLL10	0	0	0
TNFRSF18	16352	8158	8195
TNFRSF4	11724	5039	6685
SDF4	2536	1207	1330
B3GALT6	64	40	24
C1QTNF12	11	5	6
AL162741.1	19	8	11
UBE2J2	1275	645	630
LINC01786	0	0	0
SCNN1D	6	4	2
ACAP3	58	63	54
MIR6726	0	0	0
PUSL1	118	190	108
INTS11	2253	1137	1237
MIR6727	0	0	0
AL139287.1	0	0	0
CPTP	4	1	3
TAS1R3	0	0	0
DVL1	4	1	3
