N_unmapped	72984	72984	72984
N_multimapping	2182972	2182972	2182972
N_noFeature	2113341	15328765	15612786
N_ambiguous	2489702	674613	598505
DDX11L1	0	0	0
WASH7P	0	0	0
MIR6859-1	0	0	0
MIR1302-2HG	0	0	0
MIR1302-2	0	0	0
FAM138A	0	0	0
OR4G4P	0	0	0
OR4G11P	0	0	0
OR4F5	0	0	0
AL627309.1	0	0	0
AL627309.3	0	0	0
CICP27	0	0	0
AL627309.6	2	0	2
AL627309.7	4	0	4
AL627309.2	0	0	0
AL627309.5	0	0	0
RNU6-1100P	0	0	0
AL627309.4	0	0	0
FO538757.2	0	0	0
FO538757.1	9	3	6
MIR6859-2	0	0	0
AP006222.1	4	0	4
RPL23AP24	0	0	0
AL732372.1	0	0	0
AL732372.2	1	1	0
WBP1LP7	0	0	0
OR4F29	0	0	0
CICP7	0	0	0
AL732372.3	0	0	0
RF00026	3	1	2
AL669831.3	0	3	13
AC114498.1	0	0	0
MTND1P23	0	0	0
MTND2P28	153	125	28
MTCO1P12	15	9	6
MIR6723	0	0	0
MTCO2P12	2	2	0
MTATP8P1	0	0	0
MTATP6P1	1218	674	544
MTCO3P12	5	4	1
WBP1LP6	0	0	0
OR4F16	0	0	0
CICP3	0	0	0
AL669831.1	26	14	12
RNU6-1199P	0	0	0
AL669831.2	0	0	0
AL669831.5	15	6	9
AL669831.7	0	0	0
AL669831.4	38	22	31
FAM87B	17	18	17
LINC01128	225	123	133
LINC00115	58	46	30
FAM41C	0	0	0
TUBB8P11	0	0	0
AL669831.6	0	0	0
AL645608.6	0	0	0
AL645608.2	0	0	0
AL645608.4	0	0	0
LINC02593	0	0	0
SAMD11	1	147	93
NOC2L	2065	1097	1207
KLHL17	529	247	282
PLEKHN1	185	80	109
PERM1	12	7	9
AL645608.7	0	0	0
HES4	35	22	13
ISG15	3341	1763	1578
AL645608.3	0	0	0
AL645608.1	0	0	0
AGRN	4	1	3
AL645608.5	0	0	0
AL390719.1	61	33	30
AL645608.8	0	1	1
RNF223	0	0	0
C1orf159	641	306	335
AL390719.3	0	0	0
LINC01342	8	3	5
MIR200B	0	0	0
MIR200A	0	0	0
MIR429	0	0	0
AL390719.2	0	0	0
TTLL10-AS1	6	2	4
TTLL10	0	0	0
TNFRSF18	12960	6570	6390
TNFRSF4	9697	4185	5512
SDF4	7086	3515	3571
B3GALT6	1033	524	509
C1QTNF12	5	1	4
AL162741.1	5	2	3
UBE2J2	1965	998	967
LINC01786	0	0	0
SCNN1D	27	11	16
ACAP3	321	232	212
MIR6726	0	0	0
PUSL1	370	375	292
INTS11	3384	1678	1880
MIR6727	0	0	0
AL139287.1	9	9	0
CPTP	592	280	312
TAS1R3	6	3	4
DVL1	97	44	54
MIR6808	0	0	0
MXRA8	0	0	0
AURKAIP1	4611	2364	2247
NDUFB4P8	0	0	0
CCNL2	7385	3717	3668
AL391244.1	1110	987	670
MRPL20	2868	1777	1638
RN7SL657P	0	0	0
AL391244.3	0	0	0
ANKRD65	17	11	6
AL391244.2	0	0	0
TMEM88B	0	0	0
LINC01770	0	0	0
VWA1	3	1	2
ATAD3C	30	20	10
ATAD3B	918	441	477
AL645728.2	1	0	1
ATAD3A	465	195	270
TMEM240	1	1	0
SSU72	7804	3937	3867
AL645728.1	95	50	45
AL691432.3	0	0	0
FNDC10	205	67	138
AL691432.2	316	170	161
MIB2	855	411	459
MMP23B	1	0	1
CDK11B	731	405	326
FO704657.1	0	3	2
SLC35E2B	453	223	235
AL691432.1	7	5	2
MMP23A	0	0	0
CDK11A	161	140	21
AL031282.2	46	29	36
AL031282.1	11	24	49
SLC35E2A	172	119	96
NADK	899	488	411
GNB1	6728	3308	3420
AL109917.1	8	5	3
CALML6	0	0	0
TMEM52	3	1	2
CFAP74	0	0	0
AL391845.2	1	0	1
GABRD	7	4	3
AL391845.1	0	0	0
PRKCZ	690	580	548
AL590822.2	0	40	53
PRKCZ-AS1	16	9	8
FAAP20	1616	1046	913
AL590822.1	0	0	0
SKI	54	29	25
MORN1	77	38	39
AL589739.1	0	0	0
AL513477.1	0	0	0
AL513477.2	0	0	0
RER1	5970	3239	3147
PEX10	461	479	398
PLCH2	142	65	77
AL139246.1	3	0	3
AL139246.4	0	0	0
PANK4	1192	584	608
HES5	1	0	1
AL139246.5	178	80	98
TNFRSF14-AS1	108	215	438
TNFRSF14	3792	2127	2210
AL139246.2	1	1	0
AL139246.3	146	66	80
PRXL2B	598	447	394
MMEL1	55	127	171
AL831784.1	0	1	1
TTC34	28	14	16
AC242022.2	0	0	0
AC242022.1	0	0	0
AL592464.2	0	0	0
AL592464.1	0	0	0
AL589702.1	0	0	0
ACTRT2	1	0	1
LINC00982	0	0	0
PRDM16	0	0	0
MIR4251	0	0	0
AL008733.1	0	0	0
AL512383.1	0	0	0
AL590438.1	0	0	0
ARHGEF16	0	0	0
AL512413.1	0	0	0
MEGF6	271	123	148
MIR551A	0	0	0
AL513320.1	10	8	2
TPRG1L	1424	727	698
WRAP73	1726	904	822
TP73	100	54	57
AL136528.1	0	0	0
AL136528.2	0	0	0
TP73-AS1	432	264	230
RF02197	0	0	0
CCDC27	0	27	24
SMIM1	9	8	1
LRRC47	1524	800	864
RN7SL574P	2	1	1
AL365330.1	8	48	99
CEP104	891	470	421
DFFB	247	123	124
C1orf174	1250	666	584
LINC01134	7	5	2
LINC01346	0	0	0
LINC01345	1	1	0
AL805961.1	0	0	0
AL805961.2	0	0	0
EEF1DP6	0	0	0
LINC01777	0	0	0
AL355602.1	1	1	0
Z98747.1	0	0	0
LINC01646	0	0	0
AJAP1	0	0	0
BX005132.2	0	0	0
BX005132.1	0	0	0
AL691497.1	0	0	0
AL139823.1	0	0	0
Z98259.3	0	0	0
Z98259.2	0	0	0
